,Name,Address,Number,Review,Bookmark,Price_range,category,Subcategory
29,Flame Japanese Cuisine 焱丸水產,"Shop 5&6, G/F, Wah Fung Building, 23 Minden Avenue, Tsim Sha Tsui",26548200,(807 Reviews),35767,$201-400,Japanese,Seafood
30,Aroy Khao Man Gai 阿來泰式地道風味,"G/F, 97 Tung Choi Street, Mong Kok",23989918,(792 Reviews),24005,$51-100,Thai,Outdark
31,Outdark,"2/F, Fee Tat Commercial Centre, 613 Nathan Road, Mong Kok, Mong Kok",28920877,(562 Reviews),25010,$201-400,Korean,Ocio
32,Ocio,"Shop B, G/F, Legent Court, 33 Yin Chong Street, Mong Kok",28868903,(979 Reviews),28390,$101-200,International,Dessert
33,Running Chicken 米走雞,"2/F, The Lamma City, 761 Nathan Road, Mong Kok",68213394 (WhatsApp),(684 Reviews),26912,$201-400,Hong Kong Style,Hot Pot
34,Misu Seafood Cuisine,"26/F, QRE Plaza, 202 Queen's Road East, Wan Chai",29881661,(515 Reviews),4984,$101-200,International,Seafood
35,FireBird,"G/F, Hotel Pennington by Rhombus, 13 Pennington Street, Causeway Bay",23865218,(603 Reviews),18806,$201-400,Japanese,Sushi/Sashimi
36,Shoken 初見,"Shop F, G/F, Wah Tat Building, 22 Hoi Pa Street, Tsuen Wan",35904277,(530 Reviews),11524,$51-100,Japanese,Hot Pot
37,ATUM Restaurant,"Shop 101B, 1/F, K11 Art Mall, 18 Hanoi Road, Tsim Sha Tsui",35861959,(648 Reviews),38323,$101-200,Western,Seafood
38,Espuma,"2/F, H8, 8 Hau Fook Street, Tsim Sha Tsui",27392080,(1187 Reviews),55694,$101-200,Spanish,Dessert
39,Isono Suisan 磯野水產,"19/F, Macau Yat Yuen Centre, 525 Hennessy Road, Causeway Bay",27663678,(535 Reviews),11232,$201-400,Japanese,Seafood
40,Tenohira Sushi 掌壽司,"Flat U, 5/F, Block 3, Camel Paint Buildings, 60 Hoi Yuen Street, Kwun Tong",21511440,(646 Reviews),20343,$201-400,Japanese,Sushi/Sashimi
41,2DP,"G/F, The Lamma Tower, 12-12A Hau Fook Street, Tsim Sha Tsui",37059590,(872 Reviews),22468,$101-200,Hong Kong Style,Vegetarian
